"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Cancun","Catamarán","Catamaran Mrc - Prestige 50ft","Por 06 horasMXN 51,500","50","Marina Aquatours","https://yatezzitos.com/es/embarcacion/catamaran-cancun-renta-mrc-prestige-50ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Inflables | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Cancun","Catamarán","Catamaran Truco V - Leopard 51ft","Por 06 horasMXN 64,300","15","Marina Puerto Cancún","https://yatezzitos.com/es/embarcacion/renta-de-catamaran-en-cancun-truco-v-51ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Comedor Ext | Clima | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Cancun","Lancha","Lancha Alessandro - Sea Ray 27ft","Por 06 horasMXN 10,800","8","Aquatours","https://yatezzitos.com/es/embarcacion/renta-lancha-cancun-alessandro-27ft/","Capitan | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Cancun","Lancha","Lancha Ichi - Regal 28ft","Por 06 horasMXN 10,000","8","Residencial Nautilus","https://yatezzitos.com/es/embarcacion/yate-privado-cancun-lancha-ichi-28ft/","Capitan | Cervezas | Refrescos | Agua | Hielo | Snorkel | Inflables | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Cancun","Lancha","Lancha Tri - Sea Ray 27ft","POR 06 HORASMXN 10,000","8","Residencial Nautilus","https://yatezzitos.com/es/embarcacion/lancha-tri-sea-ray-27ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Cancun","Yate","Yate Avalon - Heesen XO 115ft","POR 06 HORASMXN 330,000","30","Marina V&V","https://yatezzitos.com/es/embarcacion/luxury-yacht-cancun-avalon-115ft/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Inflables | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | WiFi | Jacuzzi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Cancun","Yate","Yate Belleza - Fairline Squadron 60ft","Por 06 horasMXN 54,300","15","Marina Puerto Cancún","https://yatezzitos.com/es/embarcacion/yacht-cancun-yate-belleza-fairline-65ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Cancun","Yate","Yate Cannan - Ferretti 55ft","Por 06 horasMXN 68,500","15","Marina Puerto Cancún","https://yatezzitos.com/es/embarcacion/yates-en-cancun-renta-yate-cannan-55ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Cancun","Yate","Yate Cuervo - Sunseeker Predator 60ft","Por 06 horasMXN 60,000","15","Marina Puerto Cancún","https://yatezzitos.com/es/embarcacion/yate-cuervo-sunseeker-predator-60ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Cancun","Yate","Yate Diamond - Sea Ray 37ft","Por 06 horasMXN 14,300","12","Marina Kaybal","https://yatezzitos.com/es/embarcacion/lancha-cancun-diamond-37ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Comedor Ext | Seguro | GPS | Suite Nupcial | Tripulacion Multilingue"
"Cancun","Yate","Yate Dolce Far Niente - Sea Ray 44ft","POR 06 HORASMXN 15,700","15","Aquatours","https://yatezzitos.com/es/embarcacion/yate-dolce-far-niente-sea-ray-44ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Inflables | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | Suite Nupcial | Tripulacion Multilingue"
"Cancun","Yate","Yate Dolce Vita - Sea Ray Fly 42ft","POR 06 HORASMXN 17,100","15","Aquatours","https://yatezzitos.com/es/embarcacion/yate-dolce-vita-sea-ray-fly-42ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Cancun","Yate","Yate Escapada - Sundancer 70ft","POR 06 HORASMXN 52,800","30","Marina Hacienda del Mar","https://yatezzitos.com/es/embarcacion/yate-escapada-sundancer-70ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Inflables | Sonido | Luces Sub | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Cancun","Yate","Yate Island Gypsy - Sundancer 52ft","POR 06 HORASMXN 21,400","17","Aquatours","https://yatezzitos.com/es/embarcacion/yate-island-gypsy-sundancer-52ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
