"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"La Paz","Catamarán","Catamaran Agape - Twin Vee 22ft","POR 8 HORASMXN 18,300","6","Marina Palmira","https://yatezzitos.com/es/embarcacion/catamaran-agape/","Capitan | Refrescos | Agua | Hielo | Snorkel | Sonido | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"La Paz","Catamarán","Catamaran Manta - Fountaine Pajot 45ft","Por 8 horasMXN 61,400","12","Marina Don José","https://yatezzitos.com/es/embarcacion/catamaran-manta/","Capitan | Marinero | Chef | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Sonido | Luces Sub | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"La Paz","Lancha","Lancha Boston Whaler Outrage 32ft","Por 8 horasMXN 25,700","10","Marina Don José","https://yatezzitos.com/es/embarcacion/renta-lancha-boston/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"La Paz","Lancha","Lancha Cuatas - Scout 22ft","Por 8 horasMXN 18,600","6","Marina Don José","https://yatezzitos.com/es/embarcacion/lancha-cuatas-scout-26ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"La Paz","Lancha","Lancha Santo Grial - Seawind 22ft","Por 8 horasMXN 17,800","6","Marina Don José","https://yatezzitos.com/es/embarcacion/renta-lancha-santo-grial/","Capitan | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"La Paz","Yate","Yate Alegra - Sea Ray 50ft","Por 8 horasMXN 45,700","15","Marina CostaBaja","https://yatezzitos.com/es/embarcacion/renta-yate-alegra-ii/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Luces Sub | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"La Paz","Yate","Yate Authentic - Scout 26ft","Por 8 horasMXN 18,600","6","Marina Don José","https://yatezzitos.com/es/embarcacion/renta-yate-authentic/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"La Paz","Yate","Yate Bella - Sunseeker 50ft","Por 8 horasMXN 55,700","12","Marina Palmira","https://yatezzitos.com/es/embarcacion/yate-sunseeker-50ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"La Paz","Yate","Yate Bravo - Azimut 80ft","Por 8 horasMXN 100,000","15","Marina La Paz","https://yatezzitos.com/es/embarcacion/yate-de-lujo-bravo/","Capitan | Marinero | Chef | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"La Paz","Yate","Yate Encanto - Ocean 44ft","Por 8 horasMXN 40,000","15","Marina Don José","https://yatezzitos.com/es/embarcacion/renta-yate-encanto/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Clima | Cocina | Seguro | Chalecos | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"La Paz","Yate","Yate La Belva - Sunseeker 72ft","Por 8 horasMXN 64,200","18","La Marina del Palmar","https://yatezzitos.com/es/embarcacion/renta-yate-la-belva/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"La Paz","Yate","Yate Mariana - Off Shore 56ft","Por 8 horasMXN 35,700","25","Marina Don José","https://yatezzitos.com/es/embarcacion/renta-yate-mariana/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Inflables | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"La Paz","Yate","Yate Ohana - Horizon 60ft","Por 8 horasMXN 41,400","25","La Marina del Palmar","https://yatezzitos.com/es/embarcacion/renta-yate-ohana/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"La Paz","Yate","Yate Renata Regina - Chris Craft 42ft","Por 8 horasMXN 32,800","12","Yarda Marina Abaroa","https://yatezzitos.com/es/embarcacion/yate-renata-regina/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"La Paz","Yate","Yate Scorpion 60ft","Por 8 horasMXN 42,900","12","Marina La Paz","https://yatezzitos.com/es/embarcacion/renta-yate-scorpion-54/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"La Paz","Yate","Yate Third Grade - Navigator 55ft","Por 8 horasMXN 41,400","20","Marina La Paz","https://yatezzitos.com/es/embarcacion/renta-yate-third-grade/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"La Paz","Yate","Yate Vamonos - Ferretti 72ft","Por 8 horasMXN 100,000","15","Marina Palmira","https://yatezzitos.com/es/embarcacion/yate-vamonos-72/","Capitan | Marinero | Chef | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
