"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Mazatlan","Lancha","Lancha El Diablo - Larson 27ft","POR 3 HORASMXN 8,400","8","Gus & Gus Restaurant Bar & Grill","https://yatezzitos.com/es/embarcacion/lancha-el-diablo-larson-27ft/","Capitan | Cervezas | Refrescos | Agua | Hielo | Alfombra Acuatica | Sonido | Luces Sub | Chalecos | GPS | Tripulacion Multilingue"
"Mazatlan","Lancha","Lancha La Brasa - Kayot 28ft","Por 3 horasMXN 8,400","8","Gus & Gus Seafood Bar & Grill","https://yatezzitos.com/es/embarcacion/lancha-la-brasa-kayot-28ft/","Capitan | Cervezas | Refrescos | Agua | Hielo | Alfombra Acuatica | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Mazatlan","Velero","Velero Perla Negra","Por 5 horasMXN 14,000","35","Naviera Tres Marías","https://yatezzitos.com/es/embarcacion/velero-perla-negra/","Capitan | Marinero | Hielo | Snorkel | Sonido | Luces Sub | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Mazatlan","Yate","Trimaran Vikinga","Por 5 horasMXN 8,000","25","LA TOSTADERIA DEL MAR","https://yatezzitos.com/es/embarcacion/renta-de-catamaran-en-mazatlan-vikinga/","Capitan | Marinero | Agua | Hielo | Snorkel | Inflables | Alfombra Acuatica | Sonido | Seguro | Chalecos | GPS"
"Mazatlan","Yate","Yate Akula - Bertram 42ft","Por 3 horasMXN 10,500","15","Fonatur Operadora Portuaria","https://yatezzitos.com/es/embarcacion/renta-yate-akula/","Capitan | Marinero | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Seguro | Chalecos | GPS | Suite Nupcial"
"Mazatlan","Yate","Yate Casino Royal - Meridian 34ft","Por 3 horasMXN 10,500","10","Marina Mazatlan","https://yatezzitos.com/es/embarcacion/paseo-en-yate-mazatlan-meridian-35/","Capitan | Marinero | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Mazatlan","Yate","Yate Go Tequila - Luhrs 31ft","Por 3 horasMXN 7,500","10","Marina Mazatlán","https://yatezzitos.com/es/embarcacion/yate-go-tequila/","Capitan | Marinero | Alfombra Acuatica | Sonido | Luces Sub | Seguro | Chalecos | GPS"
"Mazatlan","Yate","Yate Isabella - Azimut 40ft","Por 3 horasMXN 12,600","12","Muelle 8","https://yatezzitos.com/es/embarcacion/renta-yate-isabella/","Capitan | Marinero | Refrescos | Agua | Hielo | Fruta | Inflables | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Cocina | Seguro | Chalecos | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Mazatlan","Yate","Yate La Palma - Fairline 48ft","Por 3 horasMXN 15,000","15","Fonatur Operadora Portuaria","https://yatezzitos.com/es/embarcacion/yate-la-palma/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Mazatlan","Yate","Yate La Perla - Sea Ray 22ft","Por 3 horasMXN 6,600","7","Fonatur Operadora Portuaria","https://yatezzitos.com/es/embarcacion/renta-yate-la-perla/","Capitan | Hielo | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | GPS | Tripulacion Multilingue"
