"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Puerto Vallarta","Catamarán","Catamaran Dream Carper II - Lagoon 43ft","Por 4 horasMXN 51,200","30","Marina Vallarta","https://yatezzitos.com/es/embarcacion/puerto-vallarta-excursions-dream-caper/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Puerto Vallarta","Catamarán","Catamaran Michelle - Lagoon 48ft","Por 04 horasMXN 26,400","25","Marina Vallarta","https://yatezzitos.com/es/embarcacion/catamaran-tour-puerto-vallarta-michelle/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Puerto Vallarta","Catamarán","Catamaran Tequila Sunrise","Por 4 horasMXN 28,400","20","Muelle K / Pier K","https://yatezzitos.com/es/embarcacion/catamaran-vallarta-tequila-sunrise-20pax/","Capitan | Marinero | Cervezas | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | Tripulacion Multilingue"
"Puerto Vallarta","Velero","Velero Macarena - C&C 38ft","Por 4 horasMXN 8,000","10","Marina Vallarta","https://yatezzitos.com/es/embarcacion/veleros-en-puerto-vallarta-macarena-38ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Sonido | Luces Sub | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Puerto Vallarta","Velero","Velero Mountaineer - Morgan 42ft","Por 4 horasMXN 13,200","18","Marina Vallarta","https://yatezzitos.com/es/embarcacion/excursion-a-puerto-vallarta-velero-mountaineer/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Puerto Vallarta","Velero","Velero Sea Breezes - Custom 41ft","Por 4 horasMXN 8,400","10","Opequimar Centro Marino","https://yatezzitos.com/es/embarcacion/veleros-vallarta-sea-breezes/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Sonido | Cocina | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Puerto Vallarta","Yate","Trimaran Escandalo Latino - Custom 34ft","Por 4 horasMXN 22,800","30","Muelle K / Pier K","https://yatezzitos.com/es/embarcacion/renta-de-catamaran-en-puerto-vallarta-trimaran-escandalo/","Capitan | Marinero | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Comedor Ext | Seguro | Chalecos | GPS | Flybridge | Tripulacion Multilingue"
"Puerto Vallarta","Yate","Yate A New Beginning - Choy Lee 85ft","Por 4 horasMXN 150,000","50","Marina Vallarta","https://yatezzitos.com/es/embarcacion/tours-en-puerto-vallarta-a-new-beginning/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Puerto Vallarta","Yate","Yate Aymar - Sea Ray 40ft","Por 4 horasMXN 13,600","15","Public Market Thursdays","https://yatezzitos.com/es/embarcacion/renta-de-barcos-en-puerto-vallarta-yate-aymar/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Seguro | Chalecos | GPS | Flybridge | Tripulacion Multilingue"
"Puerto Vallarta","Yate","Yate Black Diamond - Custom 32ft","Por 4 horasMXN 11,200","10","Dock H Slip 2","https://yatezzitos.com/es/embarcacion/renta-de-lanchas-en-puerto-vallarta-black-diamond-32ft/","Capitan | Marinero | Agua | Hielo | Fruta | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Seguro | Chalecos | GPS | Tripulacion Multilingue"
