"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Yates Acapulco","Yate","Yate Adios - Maxum 48ft","POR 5 HORASMXN 27,000","18","Av Costera Miguel Alemán 100","https://yatezzitos.com/es/embarcacion/yates-en-renta-acapulco-adios-maxum-48/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Coyote - Sea Ray 42ft","POR 5 HORASMXN 17,800","15","Av Costera Miguel Alemán 100","https://yatezzitos.com/es/embarcacion/renta-yate-en-acapulco-coyote-sea-ray-42/","Capitan | Marinero | Cervezas | Refrescos | Agua | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Dali - Sunseeker Manhattan 75ft","POR 5 HORASMXN 78,500","20","Club de Yates de Acapulco","https://yatezzitos.com/es/embarcacion/yate-dali-sunseeker-manhattan-75ft/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Dubai - Sundancer 36ft","POR 5 HORASMXN 14,300","10","La Marina Acapulco","https://yatezzitos.com/es/embarcacion/yate-dubai-sundancer-36ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Seguro | GPS | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Evangi - Custom 38ft","POR 5 HORASMXN 12,500","12","Av Costera Miguel Alemán 100","https://yatezzitos.com/es/embarcacion/yates-en-acapulco-renta-evangi-custom-38/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Hipnotic - Sea Ray 44ft","POR 5 HORASMXN 21,400","15","Av Costera Miguel Alemán 100","https://yatezzitos.com/es/embarcacion/yates-acapulco-renta-hipnotic-sea-ray-50/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Sala TV | Cocina | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Noon - Sunseeker Manhattan 95ft","Por 5 horasMXN 170,000","18","Club de Yates de Acapulco","https://yatezzitos.com/es/embarcacion/yate-noon-sunseeker-manhattann-95ft/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Pantera - Mangusta 50ft","POR 5 HORASMXN 21,400","15","Club de Yates de Acapulco","https://yatezzitos.com/es/embarcacion/yate-pantera-mangusta-50ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | Suite Nupcial | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Potenza - Sea Ray 48ft","POR 5 HORASMXN 28,500","15","Av Costera Miguel Alemán s/n","https://yatezzitos.com/es/embarcacion/acapulco-renta-de-yates-potenza-sea-ray-48/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | Suite Nupcial | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Princesa Jiannas - Azimut 42ft","POR 5 HORASMXN 20,000","15","Malecon de Acapulco","https://yatezzitos.com/es/embarcacion/yate-princesa-jiannas-azimut-42ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Sala TV | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Quimbumba - Sunseeker 52ft","POR 5 HORASMXN 28,500","15","Club de Yates de Acapulco","https://yatezzitos.com/es/embarcacion/yate-quimbumba-sunseeker-52ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Sea Porshe - Sea Ray 44ft","POR 5 HORASMXN 19,300","15","Malecon de Acapulco","https://yatezzitos.com/es/embarcacion/renta-de-yates-en-acapulco-precio-sea-porshe-sea-ray-44/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Acapulco","Yate","Yate Yuyin - Ferreti 48ft","POR 5 HORASMXN 25,000","16","Av Costera Miguel Alemán 100","https://yatezzitos.com/es/embarcacion/yate-en-acapulco-yuyin-ferreti-48/","Capitan | Marinero | Cervezas | Refrescos | Agua | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
