"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Yates En Nuevo Vallarta","Catamarán","Catamaran Canuwa II","POR PERSONAMXN 2,100","35","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/renta-catamaran-canuwa-ii/","Capitan | Marinero | Bartender | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Catamarán","Catamaran Gran Canuwa","Por personaMXN 2,100","45","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/renta-catamaran-gran-canuwa/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Catamarán","Catamaran Kusi Wasi - Leopard 51ft","POR 4 HORASMXN 55,000","15","Marina Cruz de Huanacaxtle","https://yatezzitos.com/es/embarcacion/catamaran-kusi-wasi-leopard-50ft/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Inflables | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Florero - Hatteras 58ft","POR 4 HORASMXN 44,000","20","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/renta-yate-florero/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Luces Sub | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Isabella II - Hatteras 42ft","POR 4 HORASMXN 19,600","12","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/yate-isabella-ii-hatteras-42ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Isabella - Viking 44ft","POR 4 HORASMXN 19,600","14","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/yate-isabella-viking-44ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Mer Sea - Hatteras 61ft","POR 4 HORASMXN 44,000","20","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/yate-mer-sea-hateras-61ft/","Capitan | Marinero | Chef | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Sonido | Luces Sub | Comedor Ext | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Nicole - Bertram 38ft","POR 4 HORASMXN 18,400","08","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/yate-nicole-bertram-38ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Piquis - Custom 46ft","POR 4 HORASMXN 19,600","16","Marina Paradise Village Office Renta de Muelles","https://yatezzitos.com/es/embarcacion/yate-piquis-custom-46ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates En Nuevo Vallarta","Yate","Yate Suits - Baltra 70ft","POR 4 HORASMXN 83,600","20","Marina Nuevo Vallarta","https://yatezzitos.com/es/embarcacion/yate-suits-baltra-70ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
