"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Yates Los Cabos","Lancha","Lancha Cabo Life - Chaparral 28ft","Por 2 horasMXN 5,000","8","Arte surf","https://yatezzitos.com/es/embarcacion/lancha-cabo-life-chaparral-28ft/","Capitan | Snorkel | Alfombra Acuatica | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Bote Emma - Pantoon Double Deck","POR 2 HORASMXN 10,000","20","Arte surf","https://yatezzitos.com/es/embarcacion/bote-emma-pantoon-double-deck/","Capitan | Marinero | Snorkel | Alfombra Acuatica | Sonido | Seguro | Chalecos | GPS | Flybridge | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Avante - Antago 98ft","Por 3 horasMXN 77,100","10","L Dock","https://yatezzitos.com/es/embarcacion/renta-yate-avante-98ft/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Azimut 43ft","POR 3 HORASMXN 25,800","10","Arte surf","https://yatezzitos.com/es/embarcacion/yate-azimut-43ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Bad Romance - Sea Ray 32ft","Por 2 horasMXN 6,000","8","Marina Cabo","https://yatezzitos.com/es/embarcacion/yate-bad-romance/","Capitan | Marinero | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Cabolero - Cabo 32ft","Por 5 horasMXN 15,700","6","Marina Cabo","https://yatezzitos.com/es/embarcacion/renta-yate-cabolero/","Capitan | Marinero | Agua | Hielo | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Canija - Sea Ray 38ft","POR 2 HORASMXN 8,400","12","E Dock","https://yatezzitos.com/es/embarcacion/yate-canija-sea-ray-38ft/","Capitan | Marinero | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Carina - Princess 60ft","Por 3 horasMXN 42,900","12","Marina Cabo","https://yatezzitos.com/es/embarcacion/renta-yate-viking-60ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate Dawnpatrol - Sea Ray 65ft","POR 3 HORASMXN 27,900","12","La Terminal de Cabo","https://yatezzitos.com/es/embarcacion/yate-dawnpatrol-sea-ray-65ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Los Cabos","Yate","Yate El Diablo - Albemarle 38ft","Por 2 horasMXN 7,200","10","Marina Cabo","https://yatezzitos.com/es/embarcacion/yate-el-diablo-albemarle-38ft/","Capitan | Marinero | Snorkel | Paddle Board | Alfombra Acuatica | Sonido | Luces Sub | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
