"Ciudad","Tipo","Nombre","Precio","Capacidad","Marina","URL","Amenidades"
"Yates Playa Del Carmen","Catamarán","Catamaran Exile - Lagoon 40ft","Por 6 horasMXN 50,000","15","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/catamaran-exile-lagoon-40ft/","Capitan | Marinero | Chef | Bartender | Hielo | Snorkel | Inflables | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Playa Del Carmen","Catamarán","Catamaran Gitana - Leopard 51ft","POR 6 HORASMXN 84,000","14","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/catamaran-gitana-leopard-51ft/","Capitan | Marinero | Chef | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Inflables | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Playa Del Carmen","Catamarán","Paseo por la costa en Catamaran Bali 40ft","Por 4 horasMXN 42,000","8","Marina Puerto Aventuras","https://yatezzitos.com/es/embarcacion/catamaran-bali-40ft-costa-y-diversion/","Capitan | Marinero | Chef | Bartender | Hielo | Snorkel | Paddle Board | Inflables | Sonido | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Playa Del Carmen","Catamarán","Viaje por la costa en Catamaran Aventura 34ft","Por 4 horasMXN 33,000","8","Marina Puerto Aventuras","https://yatezzitos.com/es/embarcacion/catamaran-aventura-34ft-costa-y-diversion-playa-del-carme/","Capitan | Marinero | Chef | Bartender | Agua | Hielo | Snorkel | Paddle Board | Inflables | Sonido | Luces Sub | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Playa Del Carmen","Lancha","Lancha Cherry - Sea Ray 24ft","POR 6 HORASMXN 20,000","4","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/lancha-cherry-sea-ray-24ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Playa Del Carmen","Lancha","Lancha Roma - Fjord 36ft","Por 6 horasMXN 40,000","10","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/lancha-pona-fjord-36ft/","Capitan | Marinero | Chef | Bartender | Hielo | Snorkel | Inflables | Sonido | Comedor Ext | Cocina | Seguro | Chalecos | GPS"
"Yates Playa Del Carmen","Lancha","Lancha Sea Ray 27ft","Por 6 horasMXN 26,500","8","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/lancha-sea-ray-28ft/","Capitan | Marinero | Chef | Bartender | Hielo | Snorkel | Inflables | Sonido | Luces Sub | Comedor Ext | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Playa Del Carmen","Yate","Descubre Playa del Carmen en Yate Azimut 43ft","Por 4 horasMXN 39,000","8","Marina Puerto Aventuras","https://yatezzitos.com/es/embarcacion/descubre-playa-del-carmen-en-yate-azimut-43ft/","Capitan | Marinero | Chef | Bartender | Snorkel | Paddle Board | Inflables | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Playa Del Carmen","Yate","Paseo por Playa del Carmen en Yate Sunseeker Manhattann 60ft","Por 4 horasMXN 58,000","8","Marina Puerto Aventuras","https://yatezzitos.com/es/embarcacion/paseo-por-playa-del-carmen-en-yate-sunseeker-manhattann-60ft/","Capitan | Marinero | Chef | Bartender | Hielo | Snorkel | Paddle Board | Inflables | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Flybridge | Tripulacion Multilingue"
"Yates Playa Del Carmen","Yate","Yate Blue Ray - Sea Ray 40ft","POR 3 HORASMXN 30,000","10","Grand Marina","https://yatezzitos.com/es/embarcacion/yate-blue-ray-sea-ray-40ft/","Capitan | Marinero | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Sonido | Luces Sub | Comedor Ext | Sala TV | Clima | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Playa Del Carmen","Yate","Yate Good Fellas - Sundancer 32ft","POR 5 HORASMXN 23,600","10","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/yate-good-fellas-sundancer-32ft/","Capitan | Marinero | Cervezas | Refrescos | Agua | Hielo | Snorkel | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Tripulacion Multilingue"
"Yates Playa Del Carmen","Yate","Yate Mint - Sea Ray 40ft","Por 6 horasMXN 46,000","10","Marina Cozumel ASIPONA","https://yatezzitos.com/es/embarcacion/yate-mint-sea-ray-40ft/","Capitan | Marinero | Chef | Bartender | Hielo | Snorkel | Inflables | Sonido | Luces Sub | Comedor Ext | Cocina | Seguro | Chalecos | GPS | Suite Nupcial | Tripulacion Multilingue"
"Yates Playa Del Carmen","Yate","Yate Triple Net - Sea Ray 47ft","POR 4 HORASMXN 38,500","15","Grand Marina","https://yatezzitos.com/es/embarcacion/yate-triple-net-sea-ray-47ft/","Capitan | Marinero | Bartender | Cervezas | Refrescos | Agua | Hielo | Fruta | Snorkel | Paddle Board | Inflables | Sonido | Luces Sub | Comedor Ext | Sala TV | Cocina | Seguro | Chalecos | GPS | WiFi | Suite Nupcial | Flybridge | Tripulacion Multilingue"
